127.0.0.1 - - [12/Feb/2024:17:51:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:51:51 +0530] "GET /RegistrationApplication/ HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:51:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:52:54 +0530] "GET /RegistrationApplication/register.html HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:54:40 +0530] "GET /RegistrationApplication/RegistrationServlet?username=Greeshma&password=shailaja&mobile=8125940023&email=sirisham9032%40gmail.com&gender=female&dob=2024-08-02&qualification=BTech&country=India&language=Telugu&language=Hindi&language=English&comments+rows%3D=sir+expalain+classes+very+clrearly. HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:02 +0530] "GET /RegistrationApplication/RegistrationServlet?username=Greeshma&password=shailaja&mobile=8125940023&email=sirisham9032%40gmail.com&gender=female&dob=2024-08-02&qualification=BTech&country=India&language=Telugu&language=Hindi&language=English&comments+rows%3D=sir+expalain+classes+very+clrearly. HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:55:07 +0530] "GET /RegistrationApplication/register.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [12/Feb/2024:17:57:22 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu&mobile=8125940023&email=sirisham9032%40gmail.com&gender=female&dob=2024-02-21&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=Explain+the+classes+very+clearly HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:00:14 +0530] "GET /RegistrationApplication/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:01:00 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu%40123&mobile=567839019&email=sirisham9032%40gmail.com&gender=female&dob=2024-01-31&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=rathan+sir+wowww HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:41 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu%40123&mobile=567839019&email=sirisham9032%40gmail.com&gender=female&dob=2024-01-31&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=rathan+sir+wowww HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:43 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu%40123&mobile=567839019&email=sirisham9032%40gmail.com&gender=female&dob=2024-01-31&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=rathan+sir+wowww HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:44 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu%40123&mobile=567839019&email=sirisham9032%40gmail.com&gender=female&dob=2024-01-31&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=rathan+sir+wowww HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:44 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu%40123&mobile=567839019&email=sirisham9032%40gmail.com&gender=female&dob=2024-01-31&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=rathan+sir+wowww HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:47 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu%40123&mobile=567839019&email=sirisham9032%40gmail.com&gender=female&dob=2024-01-31&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=rathan+sir+wowww HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:49 +0530] "GET /RegistrationApplication/RegistrationServlet?username=greeshma&password=shailu%40123&mobile=567839019&email=sirisham9032%40gmail.com&gender=female&dob=2024-01-31&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=rathan+sir+wowww HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:52 +0530] "GET /RegistrationApplication/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:10:53 +0530] "GET /RegistrationApplication/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:12:52 +0530] "GET /RegistrationApplication/RegistrationServlet?username=Greeshma&password=56322165&mobile=8235436&email=shailajamakkala%40gmail.com&gender=female&dob=2024-02-14&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=fdgga HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:13:07 +0530] "GET /RegistrationApplication/RegistrationServlet?username=Greeshma&password=56322165&mobile=8235436&email=shailajamakkala%40gmail.com&gender=female&dob=2024-02-14&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=fdgga HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:13:11 +0530] "GET /RegistrationApplication/RegistrationServlet?username=Greeshma&password=56322165&mobile=8235436&email=shailajamakkala%40gmail.com&gender=female&dob=2024-02-14&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=fdgga HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:13:15 +0530] "GET /RegistrationApplication/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:18:13:48 +0530] "GET /RegistrationApplication/RegistrationServlet?username=Greeshma&password=shailu%40123&mobile=78243543&email=sirisham9032%40gmail.com&gender=female&dob=2024-02-14&qualification=BTech&country=India&language=Telugu&language=English&comments+rows%3D=dksflsf HTTP/1.1" 200 364
